x,y,magnitude
8,116,1.76E-10
8,117,2.06E-10
8,118,4.07E-10
8,119,3.20E-10
8,120,3.39E-10
8,121,2.74E-10
8,122,3.22E-10
8,123,2.78E-10
8,124,2.52E-10
8,125,2.94E-10
8,126,3.78E-10
8,127,1.52E-10
9,0,1.87E-10
9,1,3.85E-10
9,2,2.84E-10
9,3,4.38E-10
9,4,4.46E-10
9,5,2.01E-10
9,6,3.56E-10
9,7,5.14E-10
9,8,3.49E-10
9,9,4.53E-10
9,10,2.41E-10
9,11,1.51E-10
9,12,2.85E-10
9,13,4.74E-10
9,14,2.18E-10
9,15,2.68E-10
9,16,2.02E-10
9,17,2.09E-10
9,18,7.33E-11
9,19,2.78E-10
9,20,4.80E-10
9,21,4.72E-11
9,22,5.23E-10
9,23,5.48E-11
9,24,4.43E-10
9,25,6.24E-11
9,26,7.01E-10
9,27,1.23E-11
9,28,2.55E-10
9,29,5.01E-10
9,30,3.02E-10
9,31,4.54E-10
9,32,5.18E-10
9,33,4.97E-10
9,34,2.36E-10
9,35,3.11E-10
9,36,4.69E-10
9,37,3.80E-10
9,38,9.74E-11
9,39,9.27E-11
9,40,5.68E-11
9,41,1.92E-10
9,42,2.63E-10
9,43,8.37E-11
9,44,7.79E-11
9,45,1.54E-10
9,46,2.46E-10
9,47,6.76E-11
9,48,1.70E-10
9,49,1.51E-10
9,50,9.95E-11
9,51,2.65E-10
9,52,2.85E-10
9,53,2.46E-10
9,54,9.56E-11
9,55,3.12E-10
9,56,2.45E-11
9,57,8.75E-11
9,58,9.05E-11
9,59,3.59E-10
9,60,3.78E-10
9,61,1.79E-10
9,62,2.13E-10
9,63,3.01E-10
9,64,1.35E-10
9,65,1.97E-10
9,66,1.83E-10
9,67,1.98E-10
9,68,1.85E-10
9,69,1.91E-10
9,70,1.71E-10
9,71,4.36E-11
9,72,2.42E-10
9,73,1.00E-11
9,74,1.08E-10
9,75,1.92E-10
9,76,2.94E-10
9,77,1.26E-10
9,78,1.93E-10
9,79,5.48E-10
9,80,6.07E-10
9,81,3.11E-10
9,82,2.34E-10
9,83,4.08E-10
9,84,3.65E-10
9,85,1.18E-10
9,86,2.57E-10
9,87,1.02E-10
9,88,3.61E-10
9,89,9.71E-11
9,90,1.22E-10
9,91,2.57E-10
9,92,3.29E-10
9,93,2.48E-10
9,94,2.33E-10
9,95,6.11E-10
9,96,3.60E-10
9,97,6.49E-10
9,98,3.96E-11
9,99,1.47E-10
